538,1915.5376,-1953.7500,15.1256,90.0000,0,1); 
497,1566.6776,-1643.6364,28.5787,91.5534,0,0); 
497,1560.1824,-1706.0703,28.5721,90.5602,0,1); 
497,1993.9087,-2251.5811,13.7236,93.8402,0,1); // LSPD PAS 1
497,1992.3958,-2313.5393,13.7235,93.5571,0,1); // LSPD PAS 2
497,1992.1876,-2378.6538,13.7236,88.8937,0,1); // LSPD PAS 3
593,1920.9659,-2242.7229,14.0045,178.3733,0,1); // LSPD DODO
490,2604.9309,2843.6060,10.9496,270.5236,0,0); // RANCHER BREACHIN TRAINING CENTER
601,1526.5623,-1644.0898,5.6108,179.9050,0,0); // CAR1
601,1530.5601,-1644.0615,5.6147,179.8329,0,0);
528,1534.7499,-1644.3446,5.9507,180.4941,0,0); //
528,1538.7700,-1644.3910,5.9514,179.4126,0,0); //
427,1544.9827,-1651.0527,6.0172,89.5498,0,0); //
427,1544.9022,-1655.2128,6.0176,88.3885,0,0); //
490,1545.4994,-1659.0708,6.0281,89.6082,0,0); //
490,1545.5275,-1663.1558,6.0277,89.0973,0,0); //
482,1544.6818,-1667.9382,6.0217,90.1037,0,0); //
482,1544.7496,-1672.1823,6.0161,90.4425,0,0); //
596,1545.2509,-1676.1794,5.7301,90.6584,36,1); //
599,1528.9138,-1683.9399,5.9145,269.7066,0,1); //
599,1528.7854,-1688.0425,5.9139,269.1270,0,1); //
596,1558.7932,-1710.8336,5.7225,1.4085,0,1); //
596,1562.8158,-1710.7632,5.7238,358.6632,0,1); //
596,1566.4927,-1710.8075,5.7409,0.0789,0,1); //
596,1570.5491,-1710.8568,5.7351,1.1105,0,1); //
596,1574.5255,-1710.9489,5.7351,359.2850,0,1); //
415,1601.9009,-1704.2405,5.6748,90.1931,1,1); //
415,1602.1466,-1700.1703,5.6792,89.3730,1,1); //
541,1601.9111,-1696.0303,5.5357,89.2887,1,0),; //
541,1601.9749,-1691.9105,5.5328,90.1185,1,0); //
560,1602.0841,-1687.8831,5.6341,89.4445,36,36); //
560,1602.0055,-1683.9458,5.6337,90.3269,36,36); //
426,1601.9209,-1679.8600,5.6288,89.7236,36,36); //
523,1600.4821,-1672.8882,5.4559,89.9066,0,0); //
523,1600.5391,-1670.5397,5.4556,91.6022,0,0); //
521,1585.0909,-1683.5800,5.7849,268.5680,0,0); //
597,1585.3694,-1679.6261,5.6664,270.5429,0,1); //
596,1544.8208,-1680.3218,5.7230,89.9219,36,1); //
596,1544.9995,-1684.2689,5.7229,89.1989,36,1); //
596,1544.8550,-1688.5370,5.7232,90.1765,36,1); //

490.000000,2701.891601,2754.928710,10.949151,94.825103,0.000000,0.000000);//Charles_Washington:FBI RANCHER AT TPBREACH

488.000000,1545.142700,-1353.001464,329.652099,89.896316,0.000000,1.000000);// Lean_Don: News Chopper San Tower
